小学key: 天津市河西区东湖小学+09ee124c01204efaa88ebc5e07337ba9	  old: 0.000000,0.000000	 new: 
小学key: 北京市东城区西总布小学+ff8080813e2fcdc8013e35a39a6e0770	  old: 0.000000,0.000000	 new: 39.922216092542,116.435390924490
小学key: 海淀区实验小学阜成分校+ff8080813e2fcdc8013e35a3c88e0771	  old: 0.000000,0.000000	 new: 39.933876096707,116.315956895070
小学key: 北京市东城区东四九条小学+4000000627	  old: 0.000000,0.000000	 new: 39.939273361386,116.425382902800
小学key: 北京市东城区景泰小学+47715322	  old: 0.000000,0.000000	 new: 39.872900184042,116.418860486160
小学key: 北京市北外附属外国语学校+4000000169	  old: 0.000000,0.000000	 new: 39.780801046244,116.226773034210
小学key: 北京市海淀区六一小学+4000000953	  old: 0.000000,0.000000	 new: 39.934793800975,116.293124753760
小学key: 北京市崇文小学+4000000708	  old: 0.000000,0.000000	 new: 39.901033348975,116.435535821170
小学key: 北京市立新小学+47715469	  old: 0.000000,0.000000	 new: 39.929985778080,116.395645037880
小学key: 北京市东城区丁香胡同小学+4000000656	  old: 0.000000,0.000000	 new: 39.909537056035,116.438912461750
小学key: 北京市海淀区双榆树中心小学+4000001016	  old: 0.000000,0.000000	 new: 39.974776022285,116.330327537470
小学key: 北京市海淀区育鹰小学+4000001003	  old: 0.000000,0.000000	 new: 40.056390273243,116.340472101590
小学key: 北京市朝阳师范学校附属小学+4000000789	  old: 0.000000,0.000000	 new: 39.978788311924,116.458317657380
小学key: 北京市海淀区羊坊店中心小学+4000000935	  old: 0.000000,0.000000	 new: 39.906247462279,116.333785205210
小学key: 北京市朝阳区永安里小学+ff8080813e2fcdc8013e35b6d93809ff	  old: 0.000000,0.000000	 new: 39.911698253699,116.453967612940
小学key: 北京市朝阳区实验小学+4000000792	  old: 0.000000,0.000000	 new: 39.941666091897,116.454998149030
小学key: 北京市朝阳区花家地实验小学+4000000788	  old: 0.000000,0.000000	 new: 40.043738314166,116.441820366520
小学key: 北京市海淀区十一学校一分校+ff8080813e2fcdc8013e35bd52ea0a04	  old: 0.000000,0.000000	 new: 39.907081481273,116.305905395400
小学key: 北京市朝阳区芳草地国际学校+47715051	  old: 0.000000,0.000000	 new: 39.923586000000,116.455133000000
小学key: 北京市海淀区七一小学+4000000932	  old: 0.000000,0.000000	 new: 39.903455447821,116.313485836270
小学key: 北京市朝阳区白家庄小学+4000000772	  old: 0.000000,0.000000	 new: 40.003525333281,116.478801717920
小学key: 北京市海淀区前进小学+ff8080813e2fcdc8013e35c19eac0a08	  old: 0.000000,0.000000	 new: 39.980612887300,116.365993320450
小学key: 芳草地国际学校万和城实验小学+ff8080813e2fcdc8013e35c285430a09	  old: 0.000000,0.000000	 new: 39.997081602280,116.440612235440
小学key: 北京市海淀区羊坊店第五小学+4000000934	  old: 0.000000,0.000000	 new: 39.907404362527,116.335043731230
小学key: 北京市三里屯一中百子园校区+ff8080813e2fcdc8013e35c443990a0b	  old: 0.000000,0.000000	 new: 39.905874208655,116.492626280400
小学key: 北京农业大学附属小学+ff8080813e2fcdc8013e35c569b60a0c	  old: 0.000000,0.000000	 new: 40.027543515613,116.284370407240
小学key: 北京市朝阳区劲松第三小学+ff8080813e2fcdc8013e35c84d640a0e	  old: 0.000000,0.000000	 new: 39.883580505705,116.460318453240
小学key: 首都师范大学附属育新学校小学部+47715447	  old: 0.000000,0.000000	 new: 39.936759596575,116.313045756410
小学key: 北京市朝阳区白家庄小学望京科技园校区+46964256	  old: 0.000000,0.000000	 new: 40.003525333281,116.478801717920
小学key: 芳草地国际学校世纪分校+ff8080813e2fcdc8013e35cdb0240a12	  old: 0.000000,0.000000	 new: 39.850963481610,116.565284733440
小学key: 陈经纶中学嘉铭分校小学部+46964240	  old: 0.000000,0.000000	 new: 40.008803282113,116.429944588010
小学key: 北京市朝阳区武圣庙小学+ff8080813e2fcdc8013e35d1ebcf0a16	  old: 0.000000,0.000000	 new: 39.879915844475,116.472429587790
小学key: 北京市海淀区红英小学+4000000922	  old: 0.000000,0.000000	 new: 40.040656638263,116.248890483660
小学key: 北京市朝阳区劲松第四小学+4000000842	  old: 0.000000,0.000000	 new: 39.892985704261,116.459349720580
小学key: 首都师范大学附属朝阳实验小学+47715029	  old: 0.000000,0.000000	 new: 39.936759596575,116.313045756410
小学key: 人大附中朝阳学校（芍药居校区）+47715027	  old: 0.000000,0.000000	 new: 39.980450273261,116.324336288870
小学key: 北京市朝阳区垡头第二小学+ff8080813e2fcdc8013e35f0cd070a21	  old: 0.000000,0.000000	 new: 39.869788656602,116.515656677740
小学key: 北京市朝阳区呼家楼中心小学+4000000773	  old: 0.000000,0.000000	 new: 39.943303171067,116.503259522720
小学key: 北京市朝阳区垡头第一小学+ff8080813e2fcdc8013e35f6bb570a25	  old: 0.000000,0.000000	 new: 39.869484632854,116.518940613190
小学key: 北京市丰台区师范学校附属小学+ff8080813e2fcdc8013e35fb3e670a2c	  old: 0.000000,0.000000	 new: 39.861874320940,116.292944104520
小学key: 北京二中亦庄分校+ff8080813e2fcdc8013e35fbf9f10a2d	  old: 0.000000,0.000000	 new: 39.803279597097,116.502085437420
小学key: 北京市丰台区第一小学+ff8080813e2fcdc8013e35fcffec0a35	  old: 0.000000,0.000000	 new: 39.857426351996,116.286732771070
小学key: 教育学院丰台分院附属学校+ff8080813e2fcdc8013e35fe884b0a40	  old: 0.000000,0.000000	 new: 39.841937852205,116.258370335470
小学key: 北京市丰台区右安门第一小学+ff8080813e2fcdc8013e3600d81e0a55	  old: 0.000000,0.000000	 new: 39.872002617358,116.375117319690
小学key: 北京市大兴区第二小学+ff8080813e2fcdc8013e36014f770a59	  old: 0.000000,0.000000	 new: 39.736938667269,116.331995421310
小学key: 北京市丰台区玉林小学+ff8080813e2fcdc8013e360265010a5d	  old: 0.000000,0.000000	 new: 39.871043778514,116.365166609890
小学key: 北京第二实验小学大兴实验学校+ff8080813e2fcdc8013e3604c9000a64	  old: 0.000000,0.000000	 new: 39.652790118364,116.425194597380
小学key: 北京市大兴区第八小学+ff8080813e2fcdc8013e360684b30a65	  old: 0.000000,0.000000	 new: 39.730662823253,116.343362309740
小学key: 北京市丰台区樊家村小学+ff8080813e2fcdc8013e3607e7980a66	  old: 0.000000,0.000000	 new: 39.850074557866,116.317158019370
小学key: 北京第一实验小学彩虹分校+ff8080813e2fcdc8013e360a347d0a7a	  old: 0.000000,0.000000	 new: 39.844449446957,116.419348086390
小学key: 北京小学万年花城分校+ff8080813e2fcdc8013e360c5b730a7c	  old: 0.000000,0.000000	 new: 39.852597000000,116.319908000000
小学key: 北京市丰台区芳群园第一小学+ff8080813e2fcdc8013e360ece4b0a8d	  old: 0.000000,0.000000	 new: 39.869044169811,116.430759261280
小学key: 北京景山学校大兴分校+ff8080813e2fcdc8013e360f48c80a8e	  old: 0.000000,0.000000	 new: 39.652790118364,116.425194597380
小学key: 北京市丰台区东高地第四小学+ff8080813e2fcdc8013e361054400a8f	  old: 0.000000,0.000000	 new: 39.804946269116,116.435235337980
小学key: 北京市大兴区旧宫镇第二中心小学+ff8080813e2fcdc8013e361114f90a90	  old: 0.000000,0.000000	 new: 39.784824722852,116.441147625520
小学key: 北京市丰台区芳古园小学+ff8080813e2fcdc8013e3612759d0a91	  old: 0.000000,0.000000	 new: 39.874298390347,116.430658920550
小学key: 北京市顺义区东风小学+ff8080813e2fcdc8013e3612a7870a92	  old: 0.000000,0.000000	 new: 40.129665163865,116.675073207440
小学key: 北京市丰台区时光小学+ff8080813e2fcdc8013e36145d0c0a94	  old: 0.000000,0.000000	 new: 39.854162417055,116.425408324850
小学key: 北京市第九十四中学机场分校+ff8080813e2fcdc8013e36171a570b01	  old: 0.000000,0.000000	 new: 40.052583750280,116.599493015730
